Incident energy;MT=2 : (z,elastic);MT=102 : (z,γ)
Incident energy;;
Incident energy;σ(E);σ(E)
4310000.0;2.181465;5.997857E-5
4320000.0;2.150377;6.001998E-5
4330000.0;2.11796;6.00614E-5
4340000.0;2.085142;6.010281E-5
4350000.0;2.052579;6.014423E-5
4360000.0;2.020713;6.018564E-5
4370000.0;1.989822;6.022706E-5
4380000.0;1.960067;6.026847E-5
4390000.0;1.931523;6.030989E-5
4400000.0;1.904213;6.03513E-5
4410000.0;1.87812;6.039272E-5
4420000.0;1.853204;6.043413E-5
4430000.0;1.82941;6.047555E-5
4440000.0;1.806676;6.051696E-5
4450000.0;1.784939;6.055838E-5
4460000.0;1.764132;6.059979E-5
4470000.0;1.744194;6.064121E-5
4480000.0;1.725063;6.068262E-5
4490000.0;1.706683;6.072404E-5
4500000.0;1.689;6.076545E-5
4510000.0;1.671965;6.080772E-5
4520000.0;1.655533;6.084999E-5
4530000.0;1.63966;6.089226E-5
4540000.0;1.624309;6.093454E-5
4550000.0;1.609444;6.097681E-5
4560000.0;1.59503;6.101908E-5
4570000.0;1.581039;6.106135E-5
4580000.0;1.567441;6.110362E-5
4590000.0;1.554212;6.114589E-5
4600000.0;1.541326;6.118816E-5
4610000.0;1.528761;6.123044E-5
4620000.0;1.516498;6.127271E-5
4630000.0;1.504515;6.131498E-5
4640000.0;1.492795;6.135725E-5
4650000.0;1.48132;6.139952E-5
4660000.0;1.470074;6.144179E-5
4670000.0;1.45904;6.148406E-5
4680000.0;1.448203;6.152634E-5
4690000.0;1.437547;6.156861E-5
4700000.0;1.427058;6.161088E-5
4710000.0;1.416718;6.165315E-5
4720000.0;1.406512;6.169542E-5
4730000.0;1.396422;6.173769E-5
4740000.0;1.386425;6.177996E-5
4750000.0;1.376498;6.182224E-5
4760000.0;1.366609;6.186451E-5
4770000.0;1.356715;6.190678E-5
4780000.0;1.34675;6.194905E-5
4790000.0;1.336596;6.199132E-5
4800000.0;1.325991;6.203359E-5
4812998.0;1.307322;6.208854E-5
4813000.0;1.307319;6.208854E-5
4820000.0;1.298094;6.211813E-5
4830000.0;1.288567;6.216041E-5
4840000.0;1.279821;6.220268E-5
4850000.0;1.271509;6.224495E-5
4860000.0;1.263514;6.228722E-5
4870000.0;1.255786;6.232949E-5
4880000.0;1.24831;6.237176E-5
4890000.0;1.241108;6.241403E-5
4900000.0;1.234292;6.245631E-5
4902000.0;1.232999;6.246476E-5
4904000.0;1.231742;6.247321E-5
4906000.0;1.230526;6.248167E-5
4908000.0;1.229365;6.249012E-5
4910000.0;1.228272;6.249858E-5
4912000.0;1.227271;6.250703E-5
4914000.0;1.226394;6.251549E-5
4916000.0;1.225691;6.252394E-5
4918000.0;1.225241;6.253239E-5
4920000.0;1.225174;6.254085E-5
4922000.0;1.225718;6.25493E-5
4924000.0;1.2273;6.255776E-5
4926000.0;1.230797;6.256621E-5
4928000.0;1.238241;6.257467E-5
4930000.0;1.255259;6.258312E-5
4931000.0;1.272264;6.258735E-5
4932000.0;1.302392;6.259157E-5
4933000.0;1.362221;6.25958E-5
4934000.0;1.504136;6.260003E-5
4935000.0;1.952243;6.260426E-5
4935500.0;2.566423;6.260637E-5
4936000.0;3.710312;6.260848E-5
4936500.0;4.229368;6.26106E-5
4937000.0;3.107242;6.261271E-5
4937500.0;2.225496;6.261482E-5
4938000.0;1.797206;6.261694E-5
4938500.0;1.582726;6.261905E-5
4939000.0;1.464535;6.262116E-5
4939500.0;1.393546;6.262328E-5
4940000.0;1.347857;6.262539E-5
4941000.0;1.294722;6.262962E-5
4942000.0;1.266126;6.263385E-5
4943000.0;1.248877;6.263807E-5
4944000.0;1.237572;6.26423E-5
4946000.0;1.223869;6.265075E-5
4948000.0;1.215885;6.265921E-5
4950000.0;1.210565;6.266766E-5
4952000.0;1.206656;6.267612E-5
4954000.0;1.203565;6.268457E-5
4956000.0;1.20098;6.269303E-5
4958000.0;1.198728;6.270148E-5
4960000.0;1.196704;6.270993E-5
4962000.0;1.194841;6.271839E-5
4964000.0;1.193097;6.272684E-5
4966000.0;1.191442;6.27353E-5
4968000.0;1.189855;6.274375E-5
4970000.0;1.188321;6.275221E-5
4972000.0;1.186831;6.276066E-5
4974000.0;1.185376;6.276911E-5
4976000.0;1.183949;6.277757E-5
4978000.0;1.182547;6.278602E-5
4980000.0;1.181165;6.279448E-5
4982000.0;1.179801;6.280293E-5
4984000.0;1.178452;6.281139E-5
4986000.0;1.177117;6.281984E-5
4988000.0;1.175793;6.282829E-5
4990000.0;1.17448;6.283675E-5
4992000.0;1.173177;6.28452E-5
4994000.0;1.171882;6.285366E-5
4996000.0;1.170595;6.286211E-5
4998000.0;1.169315;6.287057E-5
5000000.0;1.168042;6.287902E-5
5010000.0;1.161762;6.293745E-5
5020000.0;1.155599;6.299587E-5
5030000.0;1.149528;6.30543E-5
5040000.0;1.143535;6.311272E-5
5050000.0;1.137609;6.317115E-5
5060000.0;1.13174;6.322957E-5
5070000.0;1.125923;6.3288E-5
5080000.0;1.120151;6.334643E-5
5090000.0;1.114417;6.340485E-5
5100000.0;1.108715;6.346328E-5
5110000.0;1.103041;6.35217E-5
5120000.0;1.097387;6.358013E-5
5130000.0;1.091747;6.363856E-5
5140000.0;1.086115;6.369698E-5
5150000.0;1.080482;6.375541E-5
5160000.0;1.074843;6.381383E-5
5170000.0;1.069187;6.387226E-5
5180000.0;1.063505;6.393068E-5
5190000.0;1.057787;6.398911E-5
5200000.0;1.052023;6.404754E-5
5210000.0;1.046201;6.410596E-5
5220000.0;1.040308;6.416439E-5
5230000.0;1.034335;6.422281E-5
5240000.0;1.028271;6.428124E-5
5250000.0;1.022116;6.433967E-5
5260000.0;1.015884;6.439809E-5
5270000.0;1.009621;6.445652E-5
5280000.0;1.003445;6.451494E-5
5290000.0;0.9976274;6.457337E-5
5300000.0;0.9928004;6.463179E-5
5305000.0;0.9911699;6.466101E-5
5310000.0;0.9904852;6.469022E-5
5315000.0;0.9913192;6.471943E-5
5320000.0;0.9946352;6.474865E-5
5325000.0;1.002107;6.477786E-5
5330000.0;1.016753;6.480707E-5
5335000.0;1.044233;6.483628E-5
5340000.0;1.09552;6.48655E-5
5342000.0;1.126971;6.487718E-5
5344000.0;1.167494;6.488887E-5
5346000.0;1.219621;6.490055E-5
5348000.0;1.286285;6.491224E-5
5350000.0;1.370428;6.492392E-5
5352000.0;1.474017;6.493561E-5
5354000.0;1.596131;6.494729E-5
5356000.0;1.730193;6.495898E-5
5358000.0;1.861721;6.497066E-5
5360000.0;1.96973;6.498235E-5
5362000.0;2.034162;6.499403E-5
5364000.0;2.045789;6.500572E-5
5366000.0;2.010189;6.50174E-5
5368000.0;1.942608;6.502909E-5
5370000.0;1.859544;6.504077E-5
5372000.0;1.773465;6.505246E-5
5375000.0;1.653703;6.506999E-5
5380000.0;1.495975;6.50992E-5
5385000.0;1.385629;6.512841E-5
5390000.0;1.308297;6.515763E-5
5395000.0;1.252597;6.518684E-5
5400000.0;1.211158;6.521605E-5
5405000.0;1.179358;6.524526E-5
5410000.0;1.154265;6.527448E-5
5415000.0;1.133974;6.530369E-5
5420000.0;1.117211;6.53329E-5
5425000.0;1.1031;6.536212E-5
5430000.0;1.091025;6.539133E-5
5435000.0;1.080543;6.542054E-5
5440000.0;1.071325;6.544976E-5
