Incident energy;MT=102 : (z,γ);MT=18 : (z,fission)
Incident energy;;
Incident energy;σ(E);σ(E)
6.4285;328.2799;101.5052
6.438938;276.913;84.86823
6.449375;225.8324;68.88156
6.456458;193.5745;59.01164
6.46354;164.3152;50.19683
6.470622;138.5219;42.53356
6.477704;116.3348;36.02492
6.484786;97.63706;30.6039
6.491868;82.13824;26.15879
6.49895;69.45049;22.55588
6.506032;59.15093;19.65711
6.510585;53.59707;18.10422
6.515138;48.75666;16.75677
6.519691;44.53599;15.5863
6.524243;40.85147;14.56771
6.528796;37.62669;13.6784
6.533349;34.7971;12.89941
6.542454;30.1054;11.60925
6.55156;26.41347;10.59331
6.560665;23.46122;9.778405
6.56977;21.06227;9.113001
6.578875;19.08419;8.561028
6.589155;17.23865;8.04247
6.599435;15.71129;7.610238
6.609715;14.43239;7.246081
6.619994;13.35132;6.936905
6.630274;12.43022;6.673025
6.640554;11.64077;6.447292
6.661113;10.37426;6.089839
6.681673;9.427758;5.834692
6.702232;8.723237;5.664642
6.722791;8.210577;5.570719
6.74335;7.858423;5.550268
6.768607;7.620449;5.630565
6.793863;7.589194;5.844505
6.808596;7.671604;6.044191
6.823329;7.837113;6.311712
6.838062;8.098265;6.661832
6.852794;8.47396;7.114899
6.867527;8.992442;7.699598
6.88226;9.69603;8.457076
6.896993;10.64944;9.448203
6.911725;11.95347;10.76523
6.922147;13.17148;11.96878
6.932569;14.72538;13.47762
6.942991;16.72772;15.38916
6.953413;19.32819;17.83096
6.958624;20.9107;19.29941
6.963835;22.71725;20.96262
6.969046;24.77727;22.84461
6.974257;27.12135;24.97003
6.979468;29.78015;27.36312
6.984679;32.78297;30.04643
6.98989;36.15578;33.03917
6.9951;39.91827;36.3546
7.001313;44.93177;40.73921
7.007525;50.51644;45.58374
7.01995;63.25356;56.49458
7.0448;91.84189;80.29438
7.054757;102.287;88.66791
7.064713;110.6715;95.12652
7.074669;116.086;98.93618
7.084625;117.902;99.62143
7.092369;116.6711;97.90656
7.100113;113.2125;94.33376
7.107857;107.7741;89.14309
7.1156;100.7297;82.67574
7.12955;85.44936;69.08854
7.1435;69.15441;54.98667
7.150475;61.34977;48.34231
7.15745;54.04836;42.18824
7.164425;47.37727;36.62021
7.1714;41.40482;31.68404
7.1807;34.5544;26.08815
7.18535;31.59091;23.6932
7.19;28.91644;21.5477
7.195323;26.18585;19.37511
7.200645;23.77945;17.47799
7.205968;21.66419;15.82643
7.21129;19.8089;14.39245
7.216613;18.18218;13.14843
7.221935;16.75605;12.06985
7.227257;15.50409;11.13388
7.232579;14.40295;10.32049
7.243224;12.57323;8.993555
7.253868;11.13283;7.976016
7.264513;9.982275;7.185184
7.275157;9.049799;6.562165
7.286474;8.239554;6.036877
7.297791;7.572356;5.618029
7.309108;7.016037;5.280297
7.320424;6.547216;5.00553
7.343058;5.806841;4.59519
7.365691;5.257233;4.316458
7.388325;4.841889;4.128111
7.410958;4.524728;4.004304
7.433592;4.281405;3.927435
7.456225;4.095331;3.884486
7.496463;3.873753;3.858201
7.5367;3.762335;3.836593
7.565725;3.735121;3.769038
7.59475;3.737909;3.607765
7.623775;3.752361;3.323615
